Week,Date,Planned effort,Description,Other deadlines
1,26/02/19-5/03/19,29,"Finish lexer, parser and ast_classes ",Maths coursework/Database/Lang proc test
2,05/03/19-12/03/19,20,Finish code generation for Python,Maths coursework/Lang proc test
3,12/03/19-19/03/19,15,Start working on code-gen for MIPS and finish basic instructions,Maths coursework/Lang proc test
4,19/03/19-26/03/19,20,Finish test suite and all the intermediate instructions,
